label,statement,subjects,domain
half-true,Alexander Hamilton was an immigration hawk .,"history,immigration",immigration
false,And weve constantly been the lowest unemployed county in the state .,job-accomplishments,economy
false,The federal government can tell General Motors what to charge for its automobiles .,"bankruptcy,financial-regulation",transportation
false,A few weeks ago Obama took Hamas and Iran OFF the terror list .,"foreign-policy,israel,nuclear,terrorism",foreign policy
false,Once a woman enters into the sex trade her average life expectancy is seven years .,"children,crime,public-health,public-safety,recreation,sexuality,women,workers",crime
half-true,Says Congresswoman Loretta Sanchez has passed one bill in her 20 years in Congress and that was to rename a post office .,elections,politics
half-true,Under the House Republican budget if these cuts were to be spread out evenly the year after next nearly 10 million college students would see their financial aid cut by an average of more than $1000 each .,"education,federal-budget",education
false,The Electric Reliability Council of Texas (ERCOT) has estimated that the Obama administrations Power Plan will cause energy costs in Texas to rise as much as 16 percent per year .,"corrections-and-updates,energy,environment",energy
barely-true,John Boozman supports privatizing Social Security,"message-machine,social-security",social issues
mostly-true,Slot machines in Miami-Dade and Broward counties have generated 20 percent of the promised $500 million per year for schools .,"education,gambling",education
barely-true,Jebs policies in Florida helped lead to its almost total collapse .,"economy,florida",politics
true,We are almost halfway to our goal of 1000 rapes prosecuted,crime,crime
true,One in every five families in the state of New Jersey has a loved one with a mental illness a serious mental illness and today we dont care .,"health-care,state-budget",social issues
pants-fire,Says kids who start in the ninth grade in the city of Newark this past September 23 percent of them will graduate in four years .,education,education
half-true,Says that unlike the U.S. Senate even the Libyan government in the middle of a civil war passed a budget on June 15 2011,"federal-budget,foreign-policy,government-efficiency",politics
half-true,The nonpartisan CBO Congressional Budget Office has said that the No . 1 policy decision that brought us to the need to prevent the nation from defaulting on our debt for the first time in history were the Bush tax cuts in 2001 and 2003 .,"deficit,federal-budget",taxes
mostly-true,When Rick Scott was deposed in lawsuits about his company he took the Fifth 75 times .,"candidates-biography,legal-issues",business
mostly-true,Vern Buchanan . His old business was caught illegally funneling over $60000 in campaign donations to Buchanan to influence his election .,campaign-finance,politics
pants-fire,Says McCain was a Hanoi Hilton songbird who collaborated with the enemy .,candidates-biography,crime
mostly-true,Were spending less money today in upcoming fiscal year 2014 than the Corzine-Buono budget spent in fiscal year 2008 .,"state-budget,state-finances",business
half-true,In New Mexico Democratic gubernatorial candidate Diane Denish spent federal stimulus funds on campaign Christmas cards .,"ethics,message-machine",politics
half-true,House Republicans are ramming through legislation . to classify pizza as a vegetable for the purpose of school lunches .,"education,public-health",politics
barely-true,Wendy Davis legal work is currently under FBI investigation .,"candidates-biography,crime,criminal-justice,ethics",law
false,On whether hes had a relationship with Vladimir Putin .,"candidates-biography,foreign-policy",foreign policy
false,Says Gov . Chris Christies poll ratings have been going up .,polls,politics
half-true,The United States is the only developed country in the world that has not cut its corporate tax rate .,"corporations,taxes",taxes
mostly-true,I committed to public financing ; (Obama) committed to public financing .,ethics,politics
half-true,Says Donald Trump wants to replace Obamacare with a single-payer system .,"health-care,public-health",health
half-true,The U.S. energy policy is to borrow money from China to buy oil from countries that don t like us .,energy,energy
true,All private healthcare plans must conform to government rules to participate in a Healthcare Exchange .,"health-care,market-regulation",health
false,On debating .,elections,culture
barely-true,Obama supports teaching schoolchildren in 2nd grade no less about homosexual relationships .,"education,gays-and-lesbians",social issues
mostly-true,Atlanta Mayor Kasim Reed became a city resident in the last annexation opening the door to his candidacy .,elections,politics
half-true,In Pennsylvania President Barack Obamas policies have increased unemployment 19 percent led to the loss of 37900 manufacturing jobs and left 189000 more people in poverty .,"economy,job-accomplishments,jobs,message-machine-2012,poverty,states",economy
false,Virtually every person across this country has seen premiums going up and up and up due to Obamacare .,health-care,health
half-true,Secure Communities has a proven track record of enhancing public safety by focusing on violent offenders and those that pose a threat to our communities and our national security .,"crime,immigration",crime
barely-true,Every (U.S. Supreme Court) nominee since 1875 has received a nomination hearing .,supreme-court,law
true,The 1990s were a time of prosperity . We created more than 22-million new jobs moved 8-million people out of poverty and turned our economy around .,economy,economy
pants-fire,The Affordable Care Act will likely go down as the biggest tax increase in history .,"financial-regulation,health-care,taxes",health
mostly-true,The unemployment rate is declining faster in Tampa than almost anywhere else .,"economy,jobs",economy
true,New Jersey loses net that is minus those who come into the state 30000 students a year .,education,education
false,All the talk about socialism during the campaign made young people more interested in it by Election Day .,economy,social issues
true,Ive done more impeachments than anybody else in the history of the country .,"congressional-rules,criminal-justice,history,job-accomplishments",politics
pants-fire,Says Marco Rubio believes the earth is 9000 years old and that humans hunted dinosaurs to extinction ; says Rand Paul believes the earth is 10000 years old and God removed dinosaurs to make space for humans .,"religion,science",politics
half-true,The Affordable Care Act basically puts a penalty or a tax on employers for every new job they create .,"economy,health-care,jobs,taxes",law
half-true,In Texas we created over 1 million new jobs while the rest of the nation lost over 2 million .,"job-accomplishments,jobs,message-machine-2012",economy
mostly-true,Women have come through the recession worse off than men the numbers bear that out . We went from a 7 percent unemployment rate for women when he (President Barack Obama) was elected to an 8.1 percent now .,"economy,jobs",economy
mostly-true,The fact of the matter is that my colleague from New York Senator Clinton there are 50 percent of the American public that say they re not going to vote for her .,elections,politics
false,A $250 fine if youre caught with a plastic bag coming out of a store . Plastic bag police anyone,environment,law
false,In countries where there are higher more strict gun laws there is more gun violence .,guns,crime
barely-true,Says he never wanted to raise the debt ceiling .,"debt,federal-budget",politics
barely-true,Thanks to (North Carolinas) governor and the legislature the average teachersalary can barely support a family .,"education,families,state-budget,workers",politics
half-true,There never really was a Hastert Rule .,congressional-rules,politics
true,Says Donald Trump wants to undo marriage equality .,"gays-and-lesbians,marriage",social issues
barely-true,It has been over 80 years since a lame-duck president appointed a Supreme Court justice .,supreme-court,politics
half-true,Says Rick Santorum opposes right-to-work,"labor,workers",politics
mostly-true,In 1981 Matagorda Brazoria and Galveston Counties all opted out of the Social Security program for their employees . Today their program is very very well-funded and there is no question about whether its going to be funded in years to come .,social-security,social issues
half-true,Virginia ranked near the bottom of the nation 50 years ago in per capita income but is in the top 10 today . It had a very low rate of higher education attainment but is now above the national average .,education,economy
half-true,Says (Clinton) called President Assad a reformer . She called Assad a different kind of leader .,foreign-policy,foreign policy
half-true,As a state rep I was considered the fourth-most conservative in the Legislature . states	rick-green republican	0	1	1	0	0	a speech 2552.json	mostly-true	Rand Paul wants us to pay $2000 just to get Medicare . health-caremedicaremessage-machine	jack-conway	Kentucky Attorney General	Kentucky	democrat	0	1	0	2	0	a campaign commercial 9353.json	mostly-true	Says Hillary Clinton opposed an individual mandate and favored an employer mandate back in 1993 . health-carepublic-health	bobby-jindal	Governor of Louisiana	Louisiana	republican	0	1	4	4	0	an op-ed for Politico Magazine 9577.json	mostly-true	There are more than 46 million Americans living in poverty today - the largest number in 54 years . medicaidpoverty	kirk-cox	House majority leader	Virginia	republican	0	0	0	1	0	a speech . 4318.json	half-true	Since I introduced my budget - first budget - in March of 2010 weve created 50000 new private-sector jobs for the people of this state . jobsstate-budget	chris-christie	Governor of New Jersey	New Jersey	republican	10	17	27	19	8	a news conference in Belmar 9864.json	mostly-true	Scott Walker cut school funding more per student than any governor in America . childreneducationmessage-machine-2014state-budgetstatestaxes	greater-wisconsin-political-fund Wisconsin	none	3	3	3	1	1	a TV ad 8243.json	true	Says he would be first CPA to serve as Texas comptroller . state-finances	raul-torres	Accountant politician	Texas	republican	0	0	0	0	0	a campaign video 13500.json	mostly-true	On Donald Trumps plan to cut federal funding to sanctuary cities because of a decision by the Supreme Court no presidents in a position to cut off funding across the board . It has to be very specific to the matter at hand . city-budgetcounty-budgetfederal-budgethomeland-securityimmigrationstate-budget	bill-de-blasio	New York City Mayor	New York	democrat	1	0	0	1	0	a WNYC interview 9854.json	false	Thomas Jefferson said That government is best which governs the least because its people discipline themselves . elections	jody-hice republican	0	1	0	0	0	a Facebook post 7737.json	barely-true	Proposed gun control legislation will outlaw practically every firearm make you pay $100 per firearm put you into a police database and make it nearly impossible to get a permit to carry a concealed weapon . crimecriminal-justicegovernment-regulationgunsmarket-regulation	ed-doyle	administrator Rhode Island chapter Gun Rights Across America . Rhode Island	activist	1	0	0	0	0	a news release and Facebook post 12293.json	barely-true	Says Donald Trump thinks a grown man pretending to be a woman (should) be allowed to use the womens restroom . candidates-biographycorrections-and-updatesgays-and-lesbianscampaign-advertising	ted-cruz	Senator	Texas	republican	36	33	15	19	8	an attack ad 457.json	half-true	McCain has voted repeatedly at least six times against funding for global HIV/AIDS malaria and TB fund once as one of only 14 senators .,foreign-policy,social issues
true,The Border Patrol has 20000 agents more than twice as many as there were in 2004 .,immigration,immigration
half-true,The fact is that red light cameras change driver behavior and cut down on the most dangerous types of accidents .,public-safety,technology
half-true,Under (Rick Perrys) watch as governor over six million Texans have no health care coverage including one million children homeowners suffer from the highest insurance rates in the country and college tuition has skyrocketed 136 percent .,"children,economy,education,health-care",health
half-true,Georgias HOPE scholarship is still the richest scholarship program in America .,education,education
false,Abortions account for 94 percent of the services provided for pregnant women by Planned Parenthood .,"abortion,health-care,human-rights,religion,women",social issues
false,While (Charlie Crist) was governor utility costs went up 30 percent and went from below the national average to above the national average . Since I got elected utility rates have come down 11 percent and now we are below the average .,"debates,energy,message-machine-2014",politics
mostly-true,Bernie Sanders opposesthe Trans-Pacific Partnership and Hillary Clinton supportsit .,trade,politics
false,On supporting right to work legislation in 2015,"corporations,economy,labor,small-business,unions,workers",social issues
barely-true,Says the success of his economic agenda is supported by the fact we went from unemployment at 9.2 percent when I decided to run for governor four years ago to two points lower .,"economy,job-accomplishments,jobs",economy
barely-true,In the Patient Protection and Affordable Care Act it was the Democrats who cut $500 billion from Medicare . And they also put in place the Independent Payment Advisory Board 15 unelected bureaucrats which will be making decisions about health care for our seniors and for all Americans .,"health-care,medicare",health
half-true,Were trailing every other state in the Midwest in terms of job creation since January of 2011 .,"state-budget,state-finances,states,taxes",economy
false,POTUS economists : Stimulus Has Cost $278000 per job .,stimulus,economy
mostly-true,The education tax burden for Shelby County - and Tennessee - is one of the lowest in the country .,"education,taxes",education
false,Says Donald Trumps conversion to pro-life beliefs are akin to Justin Biebers who said in the past that abortion was no big deal to him .,abortion,social issues
mostly-true,By the time I left the State Department economic growth was up and opium production was down in Afghanistan while infant mortality declined and school enrollment rose by more than sevenfold .,"drugs,economy,education,foreign-policy,health-care,public-health,women",economy
mostly-true,We have the most productive workers in the world .,"economy,workers",business
true,Before I was state treasurer my Rhode Island business helped create over 1000 jobs .,"candidates-biography,economy,job-accomplishments,jobs,message-machine-2014",business
false,Says Bill White profiteered in the aftermath of Hurricane Rita .,"ethics,infrastructure,transparency",business
mostly-true,Alabamas Crimson Tide will be the underdog in Saturdays game against the Georgia Bulldogs the first time in 72 consecutive games that Alabama has not been favored by oddsmakers to win .,"gambling,sports",sports
half-true,Says Rick Scott took $200000 in campaign contributions from a company that profited off pollution .,"climate-change,energy,environment,message-machine-2014",politics
mostly-true,In a lawsuit between private citizens a Florida judge announced the decision was going to be based on Islamic Law .,"florida,legal-issues,religion",religion
half-true,Says Democrats raised taxes over 115 times in the past 10 years making New Jersey increasingly unaffordable and chasing jobs to neighboring states .,"economy,jobs,taxes",taxes
false,Metro on whether it could use bond money for restoration .,taxes,transportation
half-true,Roy Barnes is like Barack Obama because theyre both doing a lot of apologizing .,message-machine,politics
pants-fire,Barack Obama thinks terrorists just need a good talking to .,terrorism,politics
barely-true,The Germans the French countries that opposed us in the (Iraq) war all believed (Saddam Hussein) had weapons of mass destruction .,iraq,foreign policy
half-true,The pope and Donald Trump and Tammy Baldwin all agree on eliminating the carried-interest tax break .,"financial-regulation,income,religion,taxes",taxes
barely-true,Agriculture has always required a significant workforce from abroad .,"agriculture,history,immigration,workers",agriculture
half-true,Says Jon Huntsman supports changes in Medicare that would deny guaranteed benefits to 980000 New Hampshire residents .,"medicare,new-hampshire-2012",politics
half-true,Across the United States 25 percent of voting age African Americans do not have the photo ID that this bill would require .,elections,social issues
half-true,Says Rick Scott stripped women of access to public health care .,abortion,health
true,A majority of Americans agree with a ban on assault weapons . And by the way so did Ronald Reagan .,guns,law
true,Only 42 percent of young Georgians have a college certificate or degree but soon 60 percent of jobs will require some college credential .,"education,jobs",education
half-true,Texas has the lowest crime rate in this state since 1968 because of changes in law regarding nonviolent drug offenders .,"crime,criminal-justice,drugs",crime
false,Says HJM 20 was the only bill not assigned to a House committee .,government-efficiency,politics
mostly-true,Says if you try to hide marijuana in a hemp field it becomes worthless . The THC goes away .,"drugs,government-regulation,marijuana,market-regulation,science",law
barely-true,The Texas Senate approved a bill to put a special label on the insurance cards of anyone who bought a plan through Obamacare that includes the letter S for subsidy .,health-care,law
half-true,Said the year before he took office the state lost 119000 private-sector jobs labeling them Corzine jobs losses of 2009 .,jobs,economy
barely-true,Says the state is required pick up 70 percent of the cost of K-12 education .,"education,state-budget",education
half-true,Theres a loophole where you can sell guns without a background check 40 percent of guns are sold that way at gun shows and over the Internet .,"criminal-justice,guns",social issues
true,Illinois suffered 1652 overdose deaths in 2014 . of which 40 percent were associated with heroin . Illinois is ranked number one in the nation for a decline in treatment capacity between 2007 and 2012 and is now ranked the third worst in the country for state-funded treatment capacity .,drugs,health
false,The minimum wage has risen $2.35 in the last two years . Thats 31 percent .,"economy,families,government-regulation,income,poverty,small-business,workers",economy
mostly-true,ColoradoCare would have higher revenues than McDonalds .,"elections,health-care",health
barely-true,Everywhere that we have more citizens carrying guns crime is less . Theres a study showing that where states have open carry or concealed carry but particularly open carry the crime is down 25 percent .,"crime,guns",crime
half-true,Weve seen 115000 jobs created in the American auto industry since GM and Chrysler emerged from bankruptcy .,"economy,jobs",transportation
mostly-true,Bill Nelson voted to confirm Sonia Sotomayor who signed a Supreme Court opinion saying Americans do not have an individual right to own firearms .,"guns,supreme-court",politics
barely-true,The Stupak Amendment doesnt just say you cant use your federal insurance subsidy to pay for an abortion it says if youre getting a federal subsidy of any kind youre not allowed to buy an insurance plan that covers abortion even with your own money .,"abortion,health-care,pundits",law
barely-true,Says President Barack Obama already passed all these Obamacare taxes . About a dozen of them hit middle-income taxpayers .,"health-care,taxes",law
false,The music industry is the biggest export from Africa after oil and gas .,"ebola,economy,foreign-policy,pop-culture",culture
barely-true,The presidents health care law raids Medicare by more than $500 billion and creates a Medicare rationing board a group of 15 unelected bureaucrats to slow the growth of Medicare spending .,"health-care,medicare",law
mostly-true,Congress used earmarks for more than 200 years .,"congress,corrections-and-updates,federal-budget",politics
mostly-true,Venezuela is a country whose defense budget is probably 1/600th of the United States .,military,military
half-true,Senator Obama thinks we can achieve energy independence without more drilling and without more nuclear power .,energy,energy
true,The average family (is) now bringing home $4000 less than they did just five years ago .,"economy,families",economy
true,On the Troubled Asset Relief Program (TARP),financial-regulation,economy
half-true,Leticia Van de Putte opposed putting National Guard troops on the border would send millions to Central American governments instead and wrote the law giving in-state tuition to illegal immigrants .,immigration,law
true,Says there are four super PACs on the Republican side of the Texas U.S. Senate race .,campaign-finance,politics
false,Unfortunately since Mr . Fosters been mayor . there are less people employed in the city of St . Petersburg than there were prior to his taking office .,jobs,economy
false,Says U.S. Rep . Ron Kinds stimulus cost taxpayers $278000 per job .,"jobs,stimulus,taxes",economy
half-true,When you read the Koran it talks about dont take Christians and Jews as your friends .,islam,religion
mostly-true,Dan Patrick called for increasing the gas tax and the state sales tax .,"state-budget,state-finances,taxes",taxes
barely-true,Congressman Joe Heck has (voted) 62% of the time with Nancy Pelosi and the Democrats on a variety of important issues .,voting-record,politics
barely-true,Chile ranks third internationally in economic freedom while the U.S. ranks 17th .,"economy,foreign-policy,pundits",economy
false,Under the White Houses budget proposal we will not be adding more to the national debt by the middle of the decade .,"deficit,federal-budget",politics
barely-true,Bill McCollum said tax cuts don t work .,taxes,taxes
barely-true,The tax burden on Virginia families was lower under Tim Kaine than under George Allen .,"families,taxes",taxes
false,Says CharlieCrist made it easier for Duke to take your money .,"energy,florida",business
barely-true,Says a Barack Obama black imposter joke got a standing ovation at San Angelo rodeo .,polls,sports
barely-true,Already in Wisconsin we have seen fewer people pursuing education as a career due to the Act 10 collective bargaining law .,"education,state-budget,state-finances,workers",education
mostly-true,SaysMaggie Hassan was out of state on 30 days over the last three months .,"job-accomplishments,public-service",politics
mostly-true,Gov . Kasich and the Republican-dominated legislature have foregone the popular option of closing tax loopholes that amount to $7 billion annually in this state .,"state-budget,state-finances,taxes",taxes
half-true,Says his Texas election fraud investigations have resulted in 50 convictions .,"crime,elections,legal-issues",crime
barely-true,Miami-Dade County is the No . 1 donor county in the state .,"state-budget,taxes",economy
mostly-true,We havent had a Republican senator in Washington for . why I think Clifford Case was our last Republican senator .,"congress,history",politics
barely-true,Judging by a recent vote Rep . Debbie Wasserman Schultz thinks its okay for medical marijuana patients to go to federal prison .,"crime,criminal-justice,drugs,marijuana",politics
half-true,Federal prosecutions for lying on background checks to buy guns are down 40 percent under President Barack Obama .,"guns,legal-issues",crime
pants-fire,We havent yet taken out a negative ad .,"campaign-finance,elections,abc-news-week",business
half-true,Jane Norton supported the largest tax hike in Colorado history .,"message-machine,state-budget,states,taxes",taxes
barely-true,Here in Florida Ive slashed government by 10 percent . That s $7 billion .,state-budget,politics
false,Over the past year . our 16 counties have hemorrhaged more than 6000 jobs with no apparent end in sight .,"economy,stimulus",economy
false,Since President Barack Obama took office you have 1700 employees just at the Department of Transportation earning over $170000 .,"bush-administration,federal-budget,income,transportation",transportation
mostly-true,New Jerseys governor cut $1.6 billion from public education while handing out $2.1 billion in corporate tax breaks more than the entire previous decade .,"corporations,education,state-budget,state-finances",education
false,Even with recent changes the average hourly wage at General Motors is still $75 an hour .,transportation,business
false,U.S. House opponent Paul Ryan supports cutting funding for veterans by 24 percent .,"disability,federal-budget,health-care,housing,veterans",politics
mostly-true,Since 1970 the Clean Air Act has reduced toxic and health-threatening air pollution by 60 percent while our economy has grown more than 200 percent .,environment,environment
mostly-true,Missouri is in the nation for holding down tuition increases at public universities .,"federal-budget,state-budget",education
true,The Milwaukee business community did not speak about the facts - and in support of train manufacturer Talgo - as the Milwaukee-Madison rail link was being killed .,"state-budget,transportation",transportation
mostly-true,The U.S. representatives that voted to keep militarizing the police received 73 percent more campaign money from the defense industry than the representatives who voted to stop it .,"campaign-finance,corrections-and-updates,criminal-justice,federal-budget,military",politics
half-true,We have never done business with Donald Trump .,candidates-biography,business
true,Sen . McCain says it was not a mistake to vote against the Bush tax cuts . but now says the tax cuts need to be made permanent .,taxes,taxes
mostly-true,During the Reagan era while productivity increased wages for working people remained frozen .,economy,economy
half-true,When you look at the earned income tax credit it has about a 25 percent fraud rate . Were looking at $20 billion to $30 billion .,"taxes,welfare",taxes
half-true,Unemployment insurance kept more than 620000 children out of poverty in 2012 .,"children,poverty,workers",social issues
half-true,170000 of the jobs created in Texas under Gov . Rick Perry were government jobs .,"economy,jobs,state-budget,state-finances,states,workers",politics
true,Says 97 percent of food stamp benefits are paid in the proper amounts to people who are really eligible .,"agriculture,poverty",welfare
mostly-true,To this day (the Cuban government) is a regime that provides safe harbor to terrorists and fugitives .,"foreign-policy,terrorism",housing
true,The Senate has not passed a budget in more than three years not a good budget not a bad budget no budget .,federal-budget,politics
pants-fire,Congress includes 36 people accused of spousal abuse 84 arrested for drunk driving in the past year 71 with terrible creditand more .,"congress,crime,ethics",crime
barely-true,Says the initial Portland plastic bag ban represented only a modest share of total single-use checkout bag use .,city-government,environment
pants-fire,The Bundy Ranch deal is all about Nevada Sen . Harry Reid using federal violence to take peoples land in his state so he can package it to re-sell it to the Chinese .,"china,environment,government-regulation",politics
false,There s no evidence anywhere that offshore drilling has hurt tourism in any area where it has been allowed .,"energy,environment",environment
false,Says Wisconsin women facing pay discrimination cant do something about it under bill passed by Republicans .,"civil-rights,legal-issues,women,workers",law
true,Under the new health care law if a landscaper wants to buy a new lawnmower or a restaurant needs a new ice-maker they have to report that to the feds .,"health-care,taxes",law
barely-true,Says that President Obama said if Congress passed the economic stimulus bill we would have unemployment at 8 percent and no higher . And it went higher .,"pundits,stimulus,abc-news-week",economy
true,Says Charlie Crist implemented Jeb Bushs A+ Plan .,education,politics
true,We have 650 people who move to Texas every day .,"corrections-and-updates,economy,population,states",transportation
mostly-true,By some estimates as few as 2 percent of the 50000 (Central American) children who have crossed the border illegally this year have been sent home .,immigration,immigration
half-true,Says city of Portland has a one-time $22 million surplus,government-efficiency,economy
mostly-true,I never gave up custody of my children . I never lost custody of my children .,"candidates-biography,corrections-and-updates,families,marriage",law
false,The New England Journal of Medicine released a survey the week that President Obama signed Obamacare stating that over 30 percent of American physicians would leave the profession if the government took over health care .,health-care,health
true,You can buy lobster with food stamps .,"government-regulation,state-budget",welfare
mostly-true,I cut more as a percentage out of government than any state in the country this past decade . And where is Michigan in terms of its economic growth Cutting did not result in economic growth .,"deficit,economy,states",economy
barely-true,The Obama administration gave Iran $400 million in ransom payment cash .,"foreign-policy,nuclear,terrorism",foreign policy
false,I remember one of [Curt Schillings] teammates said he painted his sock the bloody sock .,"baseball,economy,pop-culture",sports
barely-true,Not one dime gets added to the deficit because of Social Security .,"deficit,disability,retirement,social-security",social issues
mostly-true,The United States of America right now has the strongest most durable economy in the world .,economy,economy
false,Canada sets aside 36 percent of their visas for people with skills they think their country needs . We set aside 6 percent .,immigration,immigration
false,The federal health care law is probably the biggest tax increase ever in the history of our country .,"health-care,taxes",health
half-true,There are 60000 fewer jobs today in this state than we had in 2008 .,jobs,economy
half-true,On toll roads .,"state-budget,transportation",transportation
true,Says Republicans supported legislation on early voting and in-person voting in 2005 .,"elections,government-regulation,voting-record",politics
half-true,Chained CPI would save $1 trillion in the second decade off the federal budget debt a report shows .,"economy,federal-budget,medicare,social-security",economy
true,Says Austin is the largest city in America without a congressional district anchored in it .,redistricting,politics
barely-true,A president must obtain Congress consent before formally accepting the Nobel Prize .,"foreign-policy,legal-issues",law
true,When people enter the service theres not a mental health evaluation .,"health-care,military",military
mostly-true,Road congestion costs rush hour drivers in Austin and Dallas more than $1000 a year . And in Houston its even more - almost $1500 a year .,transportation,transportation
pants-fire,Theres more murders with hammers last year than . shotguns and pistols and AK-47s .,guns,crime
mostly-true,Uses headlines to portray Gov . Rick Perry as beholden to special interests .,ethics,politics
true,Ms . Kagan has spent her entire professional career in Harvard Square Hyde Park and the D.C. Beltway .,"kagan-nomination,supreme-court",transportation
half-true,Her campaign and her supporters in her campaign were the ones that borne out the birther movement .,obama-birth-certificate,politics
false,Because of voter fraud Republican candidates need to do a point or two better to win statewide elections in Wisconsin .,"city-government,crime,elections",politics
true,Nine million people have lower-cost HIV/AIDS medicine because of the work of the Clinton Foundation and my husband .,"foreign-policy,public-health",health
mostly-true,Chris Christie helped funnel $6 million in federal Hurricane Sandy money to a senior center in Belleville N.J. a place that suffered no damage .,"housing,weather",politics
half-true,Massachusetts under Gov . Mitt Romney initially ranked last among states in job growth but by the end of his governorship we were in the middle of the pack .,"economy,history,jobs,states",economy
mostly-true,The federal budget bill reauthorizes the Overseas Private Investment Corporation which provides taxpayer dollars so that the Four Seasons hotel can build a resort in Turkey .,federal-budget,law
barely-true,Says that 9 million to 50 million undocumented immigrants live in the United States .,"immigration,population",immigration
false,Ohioans want an end to pay-to-play politics .,"crime,criminal-justice,ethics",politics
mostly-true,We are the only industrialized nation that doesnt guarantee workers paid family leave .,"families,jobs,women",social issues
mostly-true,A single mother of two cant qualify for basic healthcare through Medicaid if she makes more than $3504 dollars a year .,health-care,health
false,General Motors is the largest corporation in the world again .,"corporations,economy",business
half-true,A mailer from the Obama campaign accurately indicates that Hillary Clinton would force uninsured people to buy insurance even if they can t afford it .,health-care,politics
pants-fire,Says Ohio Treasurer Josh Mandel supports allowing the United States to default on its obligations .,"deficit,federal-budget",politics
barely-true,Says Mitt Romney belittled middle-class tax cuts as nothing more than little Band-Aids .,taxes,taxes
false,A referendum gives the people the chance to decide on cutting the Milwaukee County Board budget by two-thirds,"county-budget,county-government",politics
false,Even among second and third generation Muslims in the United States theres no real assimilation .,"diversity,immigration,religion",religion
mostly-true,Hackers broke into Virginias prescription-drug database (and) . obtained more than 8.2 million patient records and a total of nearly 36 million prescriptions .,drugs,crime
pants-fire,Says Ted Cruz was just bribed by the Kochs to introduce a bill that would give them and their allies Americas national forests parks and other public lands and open them for mining drilling fracking and logging .,"campaign-finance,candidates-biography,crime,environment",politics
mostly-true,The (Russian) ruble is already going down .,"economy,foreign-policy",business
false,On subsidies for ethanol production .,"agriculture,environment,federal-budget",energy
true,One out of five of our children live in a family thats on food stamps .,"agriculture,children,federal-budget,hunger",welfare
mostly-true,Says she brought together business labor and hospitals to give 94000 Oregon children health care .,health-care,health
half-true,According to independent analysis unfair trade deals have resulted in the loss of over 64000 jobs in Wisconsin . But Ron Johnson favors those deals .,"jobs,message-machine,trade",politics
mostly-true,Ohio currently ranks 50th out of all states in income growth .,"economy,income",economy
mostly-true,We knew Strom Thurmond had proposed the amendment that blocked Puerto Ricos use of Chapter 9 bankruptcy protection .,"bankruptcy,corrections-and-updates",politics
half-true,In the four years before I became governor we increased state debt $5.2 billion . Weve paid it down $2 billion .,debt,business
half-true,Says they said it was impossible to balance a budget at the same time with an $11 billion deficit and we did it .,"state-budget,state-finances",business
false,Says Bruce Starr broke the law by letting lobbyists wine and dine him in Maui .,"ethics,message-machine",crime
pants-fire,Latina who enthusiastically supported Donald Trump on stage in Las Vegas in October 2015 has been deported .,immigration,immigration
half-true,John McCain is right on that one . The line-item veto is the best tool the president has to rein in excessive spending .,federal-budget,politics
half-true,In 2009 the FBI referred more than 71000 cases of people failing background checks when trying to buy a gun to another federal agency but U.S. attorneys ultimately prosecuted only 77 of them .,"crime,criminal-justice,government-regulation,guns",crime
mostly-true,Says Barack Obama is the first president in modern history not to have a single year of 3 percent growth .,economy,economy
barely-true,Half of all hospitalized seniors are suffering from malnutrition so severe that it either caused their illness or it prevents them from getting better .,"health-care,hunger,poverty",health
barely-true,Under conservative leadership Congress has reduced the federal deficit by 60 percent nearly $800 billion .,"congress,deficit,economy,federal-budget",politics
barely-true,Says Patrick Murphy never worked as a CPA and was never a small business owner .,candidates-biography,business
mostly-true,In 2012 Wall Street gave Scott Brown more campaign contributions than any other candidate - $5.3 million .,"campaign-finance,financial-regulation,message-machine-2014",business
mostly-true,$65 billion would be added to the deficit if we keep the cuts for people on the highest incomes .,"federal-budget,taxes",economy
false,What I look at every month is how many more New Jerseyans are back to work . You have another 9900 last month that are back to work and over almost 90000 that are back to work now since I became governor .,jobs,economy
pants-fire,Says Newt Gingrich co-sponsored a bill with Nancy Pelosi that would have given $60 million a year to a U.N. program supporting Chinas brutal one-child policy .,"abortion,bipartisanship,candidates-biography,children,china,environment,federal-budget,message-machine-2012",politics
true,Poor people go to a payday lender . and they pay 300 400 500 percent interest .,poverty,social issues
mostly-true,Other states have considered or have sunset advisory commissions ; the federal government has the ability too .,"state-budget,state-finances",politics
half-true,Under Wisconsin law anyone who knows anything about a John Doe secret criminal investigation cant talk about it .,"campaign-finance,county-government,crime,criminal-justice,elections",law
true,. following World War II war crime trials were convened . The Japanese were tried and convicted and hung for war crimes committed against American POWs . Among those charges for which they were convicted was waterboarding .,history,crime
half-true,On the economic crisis the biggest problem in this whole process was the deregulation of the financial system .,economy,economy
barely-true,Texas high school graduation rate went from 27th in the country in 2002 to second highest in the country in 2013 .,"education,states",education
false,Says the secret John Doe criminal investigation of his campaign has been resolved and two judges have said it is over .,"campaign-finance,legal-issues",crime
mostly-true,Obama came into office with a $1.3 trillion deficit before I had passed any law . . We came in with $8 trillion worth of debt over the next decade .,"economy,federal-budget",law
half-true,Says Daniel Webster wants to make divorce illegal even for abused wives .,"marriage,message-machine,religion,women",social issues
half-true,Says Amanda Fritz publicly claimed to be endorsed by NARAL Pro-Choice Oregon both on her website and in the voters guide .,"city-government,message-machine-2012,women",social issues
